,name,url,short_desc,num_reviews,rating_overall,rating_word,cuisine,address,time,check,tags,desc,kitchen_rating,interior_rating,service_rating
129,Фунт изюма,https://www.restoclub.ru/spb/place/funt-izjuma-1,Кафе-кондитерская на Гороховой улице,2,9.2,Идеально,"торты на заказ, европейская",ул. Гороховая 52,Пн–Вс: 10:00 — 22:00,800,"завтрак, бизнес-ланч","Кафе-кондитерская на Гороховой улице. «Фунт изюма» специализируется на десертах и фирменной выпечке. Каждое утро здесь выставляют на витрины свежеиспеченные багеты, только сделанные торты и пирожные. Среди популярных позиций — итальянский десерт сабайон, в основу которого входят взбитые желтки, сахар, ягоды и другие топпинги. Еще здесь можно попробовать классическую панна котту на рисовом молоке и другие сладости без глютена. По части напитков упор делают на кофе. По утрам действуют сытные комплексные завтраки, а для более сытного дневного перекуса есть сэндвичи, салаты и супы. Периодически в заведении проходят кулинарные мастер-классы для взрослых и детей. Всего в кафе организовали чуть больше 50 посадочных мест.            завтракбизнес-ланч",9.2,10,10
130,Щелкунчик,https://www.restoclub.ru/spb/place/shhelkunchik,Просторное бистро напротив Московского вокзала,235,8.6,Отлично,"смешанная, европейская",пр. Лиговский 10/118,Пн–Вс: 08:00 — 23:00,250,завтрак,"Просторное бистро ресторанной группы «Норберт» напротив Московского вокзала. Раздача организована в формате free flow: гости перемещаются между «островками» с салатами, закусками, супами, выпечкой. 9 залов отделаны натуральным деревом и разделены перегородками и подиумами. В двух барах можно купить пиво из собственной пивоварни.            завтрак",8.5,8.9,8.5
131,Я люблю хинкали,https://www.restoclub.ru/spb/place/ja-ljublju-hinkali,Кафе со специализацией на хинкали на улице Кораблестроителей,42,8.9,Отлично,"грузинская, шашлыки, европейская, кавказская",ул. Кораблестроителей 40а,"Пт–Сб: C 11:00 — до последнего гостя, Вс: 11:00 — 00:00, Пн–Чт: 11:00 — 00:00",700,"детское меню, кальян, бизнес-ланч, доставка, парковка","Кафе со специализацией на хинкали на улице Кораблестроителей. Атмосфера заведения напоминает лофтовую: кирпичные стены, лаконичная мебель, «голый потолок» с трубами, одна из стен выполнена в виде синего забора с надписями. В меню сделан акцент на кавказскую кухню (хинкали, хачапури, шашлык, грузинские бургеры с сыром сулугуни и зеленью), но также есть популярные блюда европейской кухни (стейки, бефстроганов, куринные шницели).  Для детей есть специальное меню с простыми блюдами. В барной карте — домашнее вино, пиво.            детское менюкальянбизнес-ланчдоставкапарковка",9.0,8.6,8.9
132,Any Day,https://www.restoclub.ru/spb/place/any-day,Демократичное сетевое кафе с акцентом на домашней пасте в БЦ «Ренессанс правда»,3,9.2,Идеально,"итальянская, пицца, европейская",ул. Херсонская 12-14,Пн–Вс: 11:00 — 00:00,300,"детское меню, настольные игры, завтрак, бизнес-ланч, своя пивоварня","Демократичное сетевое кафе с акцентом на домашней пасте в БЦ «Ренессанс правда». Обстановка в заведении семейная, уютная: теплый свет от плетеных абажуров, стеллажи с книгами и сувенирами, много деревянных поверхностей, диванчики с пледами и подушками. В меню собрана европейская классика и авторские позиции: салаты, супы, ризотто, интересная паста, пицца, свежий домашний хлеб, фермерские сыры. Для детей есть отдельное меню. Действуют завтраки и бизнес-ланчи.            детское менюнастольные игрызавтракбизнес-ланчсвоя пивоварня",9.2,9.3,9.2
133,Бар 8,https://www.restoclub.ru/spb/place/bar-8,Небольшой винный бар от Кати Бокучавы на месте бывшей парадной,4,8.4,Отлично,,ул. Ленина 8,Пн–Вс: 18:00 — 00:00,400,,"Небольшой винный бар от Кати Бокучавы на месте бывшей парадной. Заведение занимает пространство, которое раньше было частью парадной жилого дома — это овальное помещение, оформленное в духе начала прошлого века. В меню здесь нет горячего, только закуски и выбор вин разных регионов по бокалам и в бутылках.",7.9,9.5,7.9
134,Блуждающий форвард,https://www.restoclub.ru/spb/place/bluzhdajushhij-forvard,Небольшой бар со спортивными трансляциями на улице Всеволода Вишневского,4,8.8,Отлично,"европейская, крафтовое пиво",ул. Всеволода Вишневского 3,"Пт: 11:00 — 03:00, Пн–Чт: 11:00 — 01:00, Сб–Вс: 13:00 — 03:00",400,,"Небольшой бар со спортивными трансляциями на улице Всеволода Вишневского. «Блуждающий форвард» занимает один зал с контактной барной стойкой. За ней бармены миксуют классические коктейли, наливают крепкий алкоголь и крафтовое пиво. Компактное меню включает бутерброды с салом или с селедкой, ассорти жареных колбас, несколько видов бургеров, запеченные ребрышки и другие мясные блюда. По будням действуют комплексные обеды, список блюд в бизнес-ланче обновляется каждую неделю. Регулярно в баре проходят трансляции спортивных матчей.",9.0,8.6,8.9
135,Brimborium,https://www.restoclub.ru/spb/place/brimborium,Спокойный кафе-бар с RGB-обоями на Маяковского,4,8.7,Отлично,"коктейли, европейская",ул. Маяковского 22-24,"Пт: 13:00 — 02:00, Сб–Вс: 18:00 — 01:00, Пн–Чт: 13:00 — 01:00",400,,"Спокойный кафе-бар с RGB-обоями на Маяковского. В заведении царит неформальная обстановка. Владельцев часто можно встретить за стойкой и легко уговорить сыграть партию в шахматы. Меню меняется каждый день и обычно включает два-три варианта сытных домашних блюд. Главная гордость бара — разнообразные настойки. Кроме того, всегда в наличии несколько сортов крафтового пива и коктейлей. Помимо основного зала, в Brimborium есть уютная гостиная с большим круглым столом, где часто проходят семейные праздники и встречи клубов по интересам.",8.8,8.6,8.7
136,Why Not?,https://www.restoclub.ru/spb/place/why-not-2,Кальянный клуб в формате тайм-кафе на Измайловском проспекте,31,9.3,Идеально,десерты,пр. Измайловский 3,"Пн–Чт: 14:00 — 02:00, Вс: 14:00 — 02:00, Пт–Сб: 14:00 — 03:00",500,"dj, кальян, спортивные трансляции, настольные игры","Кальянный клуб в формате тайм-кафе на Измайловском проспекте. В «Why Not» вы платите только за проведенное время, в стоимость первого часа уже входит бестабачный паровой коктейль. В барной карте — линейка классических коктейлей и пиво. Кухни собственной в заведении нет, в пару к напиткам можно взять десерты. Есть, к примеру, классический тирамису или мягкие вафли с разными топингами. Кальянная занимает три тематических зала: первый — основной, второй — vip-комната, третий — игровая зона.            djкальянспортивные трансляциинастольные игры",8.6,9.1,9.6
137,Жюль Верн,https://www.restoclub.ru/spb/place/zhjul-vern,Семейное кафе с домашней атмосферой,35,8.8,Отлично,смешанная,ул. Подольская 6,Пн–Вс: 12:00 — 21:00,600,бизнес-ланч,"Семейное кафе с домашней атмосферой. Светильники оформлены в виде аэростатов, на стенах фото из путешествий. Меню смешанное: есть луковый суп, домашние пельмени, жареные колбаски, «пожарские» котлеты, лосось по-карельски. Отдельная гордость хозяев – блюда редкой караимской кухни, например, пирожки. Алкоголь не продают, но его можно принести с собой.            бизнес-ланч",9.2,8.7,8.8
138,Компромисс,https://www.restoclub.ru/spb/place/kompromiss,Винно-коктейльный бар на улице Рубинштейна,10,4.9,Посредственно,коктейли,ул. Рубинштейна 23,Пн–Вс: 10:00 — 04:00,100,,"Винно-коктейльный бар на улице Рубинштейна. В названии заложена основная идея проекта. Одна локация, объединяющая две концепции: спокойное место для завтрака и шумный коктейльный бар с диджей-сетами. Компромисс читается и в барной карте: команда объединила на одном листе классические вина и коктейли. Для удобства гостей список разбили на четыре вкусовые группы: легкие и свежие; нейтральные; яркие и сочные; мощные и плотные. Так, освежающий испанский совиньон блан соседствует с аперитивом Aperol Spritz на основе просекко и биттера, а плотный австралийский шираз граничит с «Негрони» на основе джина и вермута. Набор закусок в баре «Компромисс» очень скромный, ставку в нем делают на популярные в Испании тапасы — так называется любая закуска, подаваемая в баре к вину или к коктейлям. В баре «Компромисс» роль стартеров выполняют артишоки и вяленые томаты, макарон с паштетом, лосось слабой соли с бакинским лимоном.",6.4,6.5,4.2
139,Luna Bar,https://www.restoclub.ru/spb/place/luna-bar,Танцевальный бар на проспекте Луначарского,32,7.6,Хорошо,европейская,пр. Луначарского 80к1,Пн–Вс: 18:00 — 06:00,800,"здесь танцуют, караоке, dj, стриптиз, кальян","Танцевальный бар на проспекте Луначарского. «Луна» объединяет сразу несколько разноформатных площадок: ресторан, караоке и бар-клуб. Всего в заведении организовали до 100 посадочных мест, в обстановке — кожаные диваны, неоновые подсветки, вывески и светомузыка. Ежедневно в баре проходят тематические вечеринки, среди основных фишек шоу-программы — go-go, стриптиз и профессиональный бэк-вокал. В универсальном меню бара представили популярные блюда — от японских роллов до американских бургеров. Барная карта получилась не менее обширной, в ней — линейка классических лонг-коктейлей и шотов и стандартная подборка крепкого алкоголя по демократичным ценам. Регулярно в «Луне» действуют специальные предложения на напитки и основное меню.            здесь танцуюткараокеdjстриптизкальян",8.0,8.1,7.0
140,Neighbours Gastropub & Bar,https://www.restoclub.ru/spb/place/neighbours-gastropub-bar,Кафе с большим выбором разливного пива на проспекте Обуховской обороны,5,9.1,Идеально,"американская, европейская, крафтовое пиво",пр. Обуховской обороны 195,"Сб: 14:00 — 02:00, Пн–Чт: 12:00 — 00:00, Пт: 12:00 — 02:00, Вс: 14:00 — 00:00",700,"кальян, спортивные трансляции","Кафе с большим выбором разливного пива на проспекте Обуховской обороны. В меню — подборка горячих и холодных закусок, стейки разной степени прожарки, бургеры, колбаски и овощные салаты. За баром разливают около десятка наименований пива; представлена обширная линейка бутылочного крафта зарубежных производителей. Интерьер выполнен в лофтовой эстетике: лампы на длинных шнурах, обилие дерева и металла. На телевизионных панелях и проекторе показывают кинофильмы и спортивные трансляции.            кальянспортивные трансляции",9.8,9.4,8.2
141,Ramen Shifu,https://www.restoclub.ru/spb/place/ramen-master,Аутентичное китайское кафе на 8-й линии В.О.,17,8.2,Отлично,"китайская, рамен",В.О. 8-я линия 15,Пн–Вс: 10:00 — 22:00,400,бизнес-ланч,"Аутентичное китайское кафе на 8-й линии В.О. В отличие от других подобных заведений в «Рамен шифу» запустили довольно компактное меню. Главное место в нем занимает рамен по-ланьчжоуски, его готовят только с говядиной в четырех разных бульонах. Ключевая особенность местного супа заключается в специальном остром соусе. В качестве стартеров подают традиционные китайские салаты из спаржи или древесных грибов. Еще здесь можно выбрать один из комбо-наборов, включающий рамен, азиатскую закуску и напиток. Главный на кухне — шеф-повар из Китая. Лапшу для супа лепит сам, помимо этого, готовит соевое молоко и угощает им гостей.            бизнес-ланч",7.7,8.2,9.5
142,Рюмочная в бутылке,https://www.restoclub.ru/spb/place/rjumochnaja-v-butylke,Бар на территории Новой Голландии от создателей «Пир о.г.и.»,3,8.8,Отлично,,Набережная Адмиралтейского канала 2,Пн–Вс: 12:00 — 23:00,350,,"Бар на территории Новой Голландии от создателей «Пир о.г.и.». Интерьер заведения небрежно-гаражный — необработанные кирпичные стены, лаконичная мебель из темного дерева.  В барной карте — настойки вроде укроповки с чесноком, хреновухи на меде, лимоновки и малиновки. В меню вошли легкие закуски и пельмени (с бараниной, говядиной, свининой, тыквой).",9.2,8.7,8.7
143,Ultramen,https://www.restoclub.ru/spb/place/ultramen,Азиатский гастробар со специализацией на лапше на небрежной реки Фонтанки,3,6.7,Неплохо,"коктейли, азиатская, японская, рамен",наб. реки Фонтанки 59,"Пн–Чт: 12:00 — 01:00, Пт–Сб: 12:00 — 03:00, Вс: 12:00 — 01:00",500,,"Азиатский гастробар со специализацией на лапше на небрежной реки Фонтанки. Название бара является отсылкой к японскому супергеройскому телесериалу. В меню собрали авторские вариации популярных блюд японской, китайской и тайской кухонь. В кафе «Ультрамен» можно попробовать удон с соевым мясом и тофу, том ям с креветками и курицей или жареную лапшу с курицей и овощами. На десерт — хлопковый чизкейк или хворост. По части напитков упор сделали на азиатское пиво. Интерьер оформили яркими граффити и неоновыми вывесками.",6.4,7.4,6.1
144,А2,https://www.restoclub.ru/spb/place/a2-1,Кальянная с игровыми приставками и граффити на стенах на набережной реки Фонтанки,18,9.1,Идеально,,наб. реки Фонтанки 40,"Пт: 16:00 — 06:00, Пн–Чт: 16:00 — 03:00, Сб–Вс: 12:00 — 06:00",350,"кальян, спортивные трансляции, настольные игры","Кальянная с игровыми приставками и граффити на стенах на набережной реки Фонтанки. Изображения полуобнаженных девушек и приглушенный свет создают особую атмосферу заведения. Заведение располагает пятью закрытыми зонами для больших и маленьких компаний, где можно поиграть в приставку X-Box. Помимо этого, развлечься можно настольными играми. В меню заведения вошли легкие закуски и десертные позиции. Напитки представлены небольшим ассортиментом безалкогольных напитков.            кальянспортивные трансляциинастольные игры",8.8,9.1,9.2
145,British Bakery,https://www.restoclub.ru/spb/place/british-bakery-10,Сетевая кофейня-кондитерская в английском стиле,3,8.8,Отлично,торты на заказ,пр. Новочеркасский 41,Пн–Вс: 10:00 — 22:00,350,завтрак,"Сетевая кофейня-кондитерская в английском стиле. В British Bakery пекут хлебобулочные изделия по рецептам британского технолога Андрю Парка. В меню кофеен - пирожные, слойки, сэндвичи, булки, торты. Из напитков предлагают стандартный выбор из чая и кофе. Английская тема продолжается и в сдержанном элегантном интерьере заведений.            завтрак",8.8,8.4,9.2
146,Буше,https://www.restoclub.ru/spb/place/bushe,"Кафе-кондитерская популярной сети с завтраками, обедами и собственной выпечкой",36,7.0,Хорошо,"торты на заказ, европейская",ул. Восстания 10/51,Пн–Вс: 08:00 — 22:00,300,бизнес-ланч,"Кафе-кондитерская популярной сети с завтраками, обедами и собственной выпечкой. Пекарня «Буше» для своих заведений производит хлеб, сдобу и кондитерские изделия с 1999 года. Помимо этого в меню есть несколько позиций салатов и закусок. Каждый день в кафе готовят суп дня, который в паре с сэндвичем отдают со скидкой.            бизнес-ланч",6.9,7.7,6.8
147,Grizzly Bar,https://www.restoclub.ru/spb/place/grizzly-bar,Ресторан-бар в американском стиле и с тусовками по выходным,52,7.8,Хорошо,"американская, стейки, шаверма, бургеры, смешанная, европейская",пр. Невский 96,"Вс: 13:00 — 00:00, Сб: 13:00 — 02:00, Пн–Чт: 12:00 — 00:00, Пт: 12:00 — 02:00",800,"детское меню, dj, кальян, спортивные трансляции, бизнес-ланч","Ресторан-бар в американском стиле и с тусовками по выходным. Атмосфера бодрая и жизнеутверждающая, публика, как и во всех заведениях на Невском, разномастная и наполовину туристическая. В меню стейки, бургеры и мексиканские блюда; порции большие, есть детское меню.            детское менюdjкальянспортивные трансляциибизнес-ланч",7.5,8.4,7.6
148,GyroGrill,https://www.restoclub.ru/spb/place/gyrogrill,Гриль-кафе в стиле лофт на Литейном проспекте,95,8.7,Отлично,"смешанная, восточная, греческая",пр. Литейный 43,Пн–Вс: 12:00 — 23:00,650,,"Гриль-кафе в стиле лофт на Литейном проспекте. Название образуется от слова «гирос» – блюда, знакомого всем, кто бывал в Греции, и представляющего собой их национальный подвид шавермы с добавлением картошки. Именно оно стало заглавным блюдом в меню GyroGrill. Однако далеко не единственным: здесь также готовят разнообразные блюда на углях. У стойки в конце помещения располагается мясная витрина с уже надетыми на шпажки шашлыками и люля. Система простая: выбираешь понравившуюся шпажку, и при тебе ее тут же жарят.",8.5,9.1,8.6
149,Даблби,https://www.restoclub.ru/spb/place/double-b-2,Популярная сетевая кофейня на Кронверкском проспекте,3,8.7,Отлично,,пр. Кронверкский 65,"Сб: 10:00 — 22:00, Пт: 08:00 — 22:00, Пн–Чт: 08:00 — 21:00, Вс: 10:00 — 21:00",400,парковка,"Популярная сетевая кофейня на Кронверкском проспекте. Дизайн небольшого заведения оформлен урбанистично и функционально, здесь выдержана фирменная цветовая гамма бренда: бирюзовый, серый и песочный. В ассортименте представлен черный кофе из разных регионов, заваренный одним из трех альтернативных способов: харио, аэропресс или лунго, а также авторские и сезонные напитки, холодный кофе, чай и традиционные напитки на основе эспрессо с молоком из кофемашины. К ним в «Даблби» есть выбор десертов и сладостей.            парковка",8.9,8.0,9.2
150,Деметра,https://www.restoclub.ru/spb/place/demetra-1,Демократичное кафе на Васильевском острове,6,8.9,Отлично,европейская,В.О. 3-я линия 24,Пн–Вс: 11:00 — 23:00,400,бизнес-ланч,"Демократичное кафе на Васильевском острове.  В меню - блюда европейской и русской кухни, цена за позицию не превышает 600 рублей. В будние дни, с 12 до 16, действует бизнес-ланч.  В кафе есть возможность проведения свадеб и корпоративов.            бизнес-ланч",10,7.2,9.6
151,Doza,https://www.restoclub.ru/spb/place/doza,Кофейня-дискаунтер на Разъезжей улице,3,9.0,Идеально,,ул. Разъезжая 35,"Сб–Вс: 09:00 — 21:00, Пн–Пт: 07:30 — 21:00",100,,"Кофейня-дискаунтер на Разъезжей улице. Заведение открыла шеф-бариста кофеен «Зерно» и «Бери и беги», работающего в формате to go. В «Дозе» по фиксированным низким ценам варят классические и авторские кофейные напитки. В качестве небольшого перекуса предлагают фирменные десерты вроде мятного фаджа или клюквенного брауни. Стоимость сладостей варьируется от 50 до 150 рублей. По утрам в кофейне действуют комплексные бизнес-завтраки с круассаном, с кашей или с сырником на выбор. Для желающих научиться варить кофе действует трехдневная школа бариста. В «Дозе» предусмотрены абонементы на 24 чашки этого напитка.",9.2,7.7,10
152,Золушка,https://www.restoclub.ru/spb/place/zolushka-skazochnoe-kafe,"кафе, семейный ресторан",33,8.8,Отлично,"смешанная, европейская",ул. Кораблестроителей 32 корп. 3,Пн–Вс: 10:00 — 21:00,650,"детское меню, караоке, детская комната, бизнес-ланч, доставка",детское менюкараокедетская комнатабизнес-ланчдоставка,8.2,9.4,8.7
153,Zoom,https://www.restoclub.ru/spb/place/zoom,Популярное кафе с интеллигентным интерьером и большим меню,102,8.5,Отлично,"смешанная, европейская",ул. Гороховая 22,Пн–Вс: 12:00 — 00:00,750,"настольные игры, завтрак","Популярное кафе с интеллигентным интерьером и большим меню. Тут всегда битком народу, а то и очередь с улицы. Уютно и светло, несмотря на то, что заведение находится в полуподвале. Оформлено по-домашнему, в стиле гостиной с книгами и плюшевыми зверьми на полках. В меню много вегетарианских блюд и всегда доступные цены.            настольные игрызавтрак",8.4,8.5,8.5
154,Imbibe,https://www.restoclub.ru/spb/place/imbibe-1,Один из лучших коктейльных баров города,12,7.9,Хорошо,"коктейли, европейская",ул. Жуковского 6,"Пн–Чт: 18:00 — 03:00, Пт–Сб: 18:00 — 04:00, Вс: 18:00 — 03:00",500,,"Один из лучших коктейльных баров Петербурга. «Imbibe» переводится с английского как «выпьем». А выпить здесь можно что-то из десятка оригинальных коктейлей. Фирменным считается «Борщ» с водкой, свеклой, хлебом, сметаной и хреном. Это маленький шот, который и вправду напоминает традиционный русский суп по вкусу. Но есть и более изящные напитки, которые украшают цветами, ягодами, маршмеллоу и сахарной ватой. Кроме коктейлей, Imbibe славится дружной стабильной командой барменов, которая и создает особую атмосферу. Бар регулярно отмечают в городских премиях и рейтингах. Планируя визит сюда, помните, что в Imbibe нет еды.",7.6,7.6,8.5
155,City Grill Express,https://www.restoclub.ru/spb/place/city-grill-express,кафе,18,7.7,Хорошо,"американская, смешанная, бургеры, европейская",наб. канала Грибоедова 20,Пн–Вс: 10:00 — 23:00,300,,,8.2,7.9,7.2
156,Luxor,https://www.restoclub.ru/spb/place/luxor,Караоке-бар на Садовой улице,19,8.6,Отлично,европейская,ул. Садовая 44,"Вс: 14:00 — 03:00, Пн–Чт: 12:00 — 03:00, Сб: 14:00 — 06:00, Пт: 12:00 — 06:00",800,"здесь танцуют, караоке, dj, кальян","Караоке-бар на Садовой улице. В основном меню «Люксора» представлены классические европейские салаты, супы и закуски к пиву. Здесь готовят азербайджанский садж — тушеные в глубокой чугунной сковороде мясо и овощи. Есть раздел с пиццей, ее здесь представлено более десяти вариантов. В барной карте — подборка крепкого алкоголя, вино, пиво и классические коктейли. Каждые выходные в «Люксоре» проходят танцевальные вечеринки.            здесь танцуюткараокеdjкальян",8.7,8.4,8.8
157,Люблю: Led. Wine. Love's,https://www.restoclub.ru/spb/place/ljublju-led-wine-love-s,"Миниатюрный, но впечатляющий офис-бар на Фонтанке",9,9.0,Идеально,,наб. реки Фонтанки 45,"Сб–Вс: 12:00 — 00:00, Пн–Пт: 11:00 — 23:00",660,"панорамный вид, завтрак, камин","Миниатюрная площадка для мероприятий на Фонтанке. Небольшой шоурум, совмещенный с баром от компании, производящей экошары и led-фигуры. В небольшом меню можно встретить все виды закусок к вину от больших оливок до нерки слабой соли по авторскому рецепту. Проводятся мастер-классы по изготовлению экошаров и кинопоказы классического европейского кино. Здесь же можно посмотреть уникальную книжную коллекцию с редкими зарубежными изданиями по флористике и экономике.            панорамный видзавтраккамин",8.4,9.3,9.3
158,Малина,https://www.restoclub.ru/spb/place/malina-1,Караоке-бар на Гражданском проспекте,19,7.6,Хорошо,"стейки, бургеры, коктейли, смешанная, суши, европейская",Гражданский просп. 84,Пн–Вс: 18:00 — 06:00,800,"здесь танцуют, панорамный вид, караоке, шоу-программа, стриптиз","Караоке-бар на Гражданском проспекте. В «Малине» гости могут петь бесплатно в будние и выходные дни до 22:00, после чего одна песня обойдется в районе 100 рублей. Здесь нет привязки к какой-либо кухне, в меню собрали европейские, грузинские и японские блюда.  На старте можно взять мясное или сырное ассорти, цезарь с курицей или креветками. На горячее подают пасту, пиццу, хачапури, шашлыки. В барном меню — крепкий алкоголь вроде коньяка, виски, рома и коктейли. Стоимость последних колеблется от 100 до 400 рублей.            здесь танцуютпанорамный видкараокешоу-программастриптиз",7.6,7.5,7.5
159,Мечта,https://www.restoclub.ru/spb/place/mechta,кафе,6,9.1,Идеально,смешанная,"ул. Туристская д. 20, к. 2",Пн–Вс: 11:00 — 21:00,500,"завтрак, бизнес-ланч, камин",завтракбизнес-ланчкамин,9.5,9.3,8.5
160,Ronny,https://www.restoclub.ru/spb/place/ronny,Японо-американское бистро в «Бутылке» на Новой Голландии,21,8.2,Отлично,"стритфуд, японская",наб. Адмиралтейского канала 2Т,"Вс: 11:00 — 23:00, Пт–Сб: 11:00 — 00:00, Пн–Чт: 11:00 — 23:00",400,доставка,"Японо-американское бистро в «Бутылке» на Новой Голландии. Проект открыли выходцы Buddha-Bar и Ginza Project: Дмитрий Кюлленен, Сергей Глазунов и Клим Жуков. Основу компактного меню составили адаптированные на американский манер японские блюда. Подают роллы с ореховым и манговым соусом и суширрито — вариацию буррито от калифорнийских серферов. Готовят и аутентичные японские суши нигири. В разделе супов — 5 разновидностей рамэна, в том числе вегетарианский. Из напитков в Ronny есть десяток бутылочных и пара разливных позиций пива.            доставка",8.7,7.8,8.0
161,Sokol Coffee,https://www.restoclub.ru/spb/place/sokol-coffee,"Кофейня, где на стаканах рисуют портреты гостей",5,7.6,Хорошо,европейская,Волынский пер. 4,Пн–Вс: 10:00 — 21:00,300,,"Кофейня, где на стаканах рисуют портреты гостей. «Сокол» находится в Волынском переулке, в двух шагах от ДЛТ. На место бариста пригласили студентов художественных академий и училищ. Они варят кофе и рисуют на стаканах портреты гостей. В меню представлена классика на основе эспрессо — от американо до моккачино. Еще есть несколько авторских напитков со взбитыми сливками, молочные коктейли, чаи и лимонады. Из еды предлагают сэндвичи и десерты. В основном кофейня работает в формате to go, но для желающих перекусить и выпить кофе на месте предусмотрели несколько посадочных мест.",3.3,4.5,7.9
162,Utopist,https://www.restoclub.ru/spb/place/utopist,Камерный винный бар в Ковенском переулке,8,7.2,Хорошо,европейская,пер. Ковенский 14,Пн–Вс: 15:00 — 23:00,300,,"Камерный винный бар в Ковенском переулке. Искать «Утописта» нужно во втором дворе дома №14. Здесь по бокалам разливают порядка 14 позиций, почти половина из них — натуральные вина. Все открытые бутылки стоят в ряд на барной стойке, ежедневно этот ассортимент обновляют и дополняют новыми сортами. Но в списке всегда можно найти легкие петнаты и модный оранж. Что касается еды, то выбор небольшой: в пару к вину можно взять сыры, тартины, лазанью или киш.",7.7,7.4,6.6
163,Черная метка,https://www.restoclub.ru/spb/place/chernaja-metka,"кафе, бар",13,8.7,Отлично,"смешанная, европейская",ул. Расстанная 3,"Пн–Сб: 11:00 — 23:00, Вс: Выходной",450,,,8.5,9.6,8.4
164,1886 Bonomi,https://www.restoclub.ru/spb/place/1886-bonomi,Итальянский кофейный бар на Невском проспекте,10,8.7,Отлично,европейская,пр. Невский 104,Пн–Вс: 09:00 — 21:00,200,завтрак,"Итальянский кофейный бар на Невском проспекте. Здесь представлен большой выбор кофе — от ристретто до фраппе. Кроме того, подают выпечку, завтраки и десерты. В заведении регулярно проходят кулинарные лекции, мастер-классы и семинары.            завтрак",7.9,8.4,9.6
165,2TACO&CO,https://www.restoclub.ru/spb/place/2taco-co,Мексиканский гастробар на улице Жуковского,20,8.0,Отлично,"мексиканская, латиноамериканская",ул. Жуковского 13,"Пн–Чт: 14:00 — 23:00, Вс: 13:00 — 23:00, Пт–Сб: 14:00 — 02:00",450,,"Мексиканский гастробар на улице Жуковского. Акцент в меню сделан на тако в различных вариациях, но также включает и другие традиционные мексиканские блюда по рецептам повара Хуана Рамиреса. В барной карте — вариации на популярный коктейль «Маргарита», большая подборка мескаля и текилы. Функционирует два зала разной вместимости, в малом есть проектор.",7.9,8.0,8.3
166,Burger Lab,https://www.restoclub.ru/spb/place/burger-lab,Современная бургерная с разнообразным стритфудом,18,8.9,Отлично,"американская, стритфуд, смешанная, бургеры",ул. Пестеля 27,Пн–Вс: 11:00 — 23:00,550,,"Современная бургерная с разнообразным стритфудом. Здесь 12 разновидностей бургеров и роллов, в том числе суперсытный XXXL Burger и вегетарианский ролл с фалафелем. Кроме того, тут можно перекусить традиционным английским фастфудом фиш-н-чипс или съесть альтернативный стейк. Все блюда и кофе можно взять с собой.",9.2,8.3,9.3
167,Cake & Breakfast,https://www.restoclub.ru/spb/place/cake-breakfast-1,Милое кафе-кондитерская с завтраками целый день на Малой Морской улице,7,8.3,Отлично,европейская,Малая Морская улица 5,Пн–Вс: 08:00 — 21:00,500,"настольные игры, завтрак","Милое кафе-кондитерская с завтраками целый день на Малой Морской улице. «Кейк энд брекфаст» долгое время проработал на Кирочной улице, а теперь запустился в том же формате недалеко от Исаакиевского собора. Концепция заведения закручена вокруг завтраков: здесь их подают с 8 утра и весь день. Ключевые блюда в меню — домашние сырники, каши и блюда из яиц. Ежедневно готовят новую партию десертов, поэтому выбор не очень большой и часто обновляется, есть сладости без рафинированной муки и сахара.            настольные игрызавтрак",8.8,7.8,8.4
